,UID,NAME OF STUDENT,ML_JAN,ML_JAN_no,ML_FEB,ML_FEB_no,ML_MAR,ML_MAR_no,ML_AVG,ML_AVG_no,DC_JAN,DC_JAN_no,DC_FEB,DC_FEB_no,DC_MAR,DC_MAR_no,DC_AVG,DC_AVG_no
0,2021700001,,100,4,100,10,100,5,100,19,100.0,6,90,9,100,5,95,20
1,2021700002,,100,4,100,10,60,3,89,17,100.0,6,90,9,100,5,95,20
2,2021700003,,100,4,100,10,100,5,100,19,100.0,6,100,10,100,5,100,21
3,2021700004,,100,4,90,9,100,5,95,18,100.0,6,90,9,100,5,95,20
4,2021700005,,100,4,100,10,100,5,100,19,100.0,6,100,10,100,5,100,21
5,2021700006,,100,4,70,7,100,5,84,16,83.33333333,5,90,9,80,4,86,18
6,2021700007,,100,4,90,9,20,1,74,14,100.0,6,80,8,100,5,90,19
7,2021700008,,100,4,100,10,60,3,89,17,100.0,6,90,9,100,5,95,20
8,2021700009,,75,3,80,8,100,5,84,16,83.33333333,5,90,9,60,3,81,17
9,2021700010,,100,4,100,10,60,3,89,17,100.0,6,90,9,100,5,95,20
10,2021700011,,100,4,80,8,100,5,89,17,66.66666667,4,100,10,100,5,90,19
11,2021700012,,100,4,100,10,100,5,100,19,100.0,6,100,10,100,5,100,21
12,2021700013,,100,4,100,10,100,5,100,19,100.0,6,100,10,100,5,100,21
13,2021700014,,100,4,80,8,60,3,79,15,66.66666667,4,90,9,100,5,86,18
14,2021700015,,100,4,100,10,0,0,95,14,100.0,6,70,7,80,4,81,17
15,2021700016,,75,3,90,9,100,5,89,17,83.33333333,5,90,9,100,5,90,19
16,2021700017,,50,2,80,8,100,5,79,15,33.33333333,2,100,10,100,5,81,17
17,2021700018,,50,2,90,9,100,5,84,16,66.66666667,4,90,9,100,5,86,18
18,2022701001,,100,4,100,10,100,5,100,19,100.0,6,100,10,100,5,100,21
19,2022701002,,100,4,80,8,100,5,89,17,100.0,6,100,10,100,5,100,21
20,2021700020,,50,2,100,10,40,2,74,14,100.0,6,0,0,40,2,81,8
